InspectionID,DefectCategory,SeverityWeight
306,Late Delivery,3.5
312,Wrong Item,4.0
321,Misleading Description,3.5
331,Notified Delay,3.5
333,Wrong Item,4.0
337,Poor Quality,3.5
342,Poor Quality,3.5
347,Late Delivery,3.5
350,Missing Parts,3.5
362,Late Delivery,3.5
365,Late Delivery,4.0
381,Poor Quality,3.5
382,Missing Parts,3.5
383,Late Delivery,4.0
384,No Issue,1.0
395,Missing Parts,4.0
399,INVENT,1.0
409,Non Functional,4.0
420,Empresa Falsa,5.0
423,Poor Quality,3.5
427,Produto Pirata!,5.0
444,Missing Parts,3.5
456,Missing Parts,3.5
460,Late Delivery,3.5
472,Wrong Item,4.0
489,Wrong Item,3.5
497,Poor Quality,3.5
500,Wrong Item,4.0
502,Late Delivery,3.5
506,Late Delivery,3.5
514,No Fit,1.0
515,Missing Parts,3.5
523,Wrong Item,4.0
526,Late Delivery,3.5
531,Late Delivery,3.5
539,Late Delivery,3.5
543,Wrong Item,4.0
545,Missing Parts,4.0
552,Late Delivery,3.5
553,No Delivery,5.0
556,N/A,3.5
558,Late Delivery,3.5
559,Late Delivery,4.0
562,No New Category,2.0
565,Missing Parts,4.0
568,Late Delivery,3.5
578,Late Delivery,4.0
598,Late Delivery,3.5
600,Wrong Item,3.5
607,Wrong Item,3.5
621,Missing Parts,3.5
623,Wrong Item,3.5
625,Late Delivery,4.0
643,Late Delivery,3.5
644,Wrong Item,3.5
647,Non-Informed,3.5
649,Late Delivery,3.5
652,Damaged Goods,3.5
653,Late Delivery,3.5
665,Late Delivery,3.5
673,No Issue,1.0
684,Poor Quality,4.0
686,Wrong Item,4.0
687,No aguardo de um retorno urgente.,1.0
689,Late Delivery,4.0
691,Missing Parts,3.5
693,Late Delivery,3.5
694,INVENT,1.0
699,No Delivery,5.0
705,Late Delivery,3.5
712,Wrong Item,4.0
727,Poor Quality,4.0
731,Poor Quality,3.5
746,Late Delivery,3.5
761,Late Delivery,4.0
762,Wrong Item,3.5
763,Poor Quality,3.5
766,Wrong Item,3.5
767,INVENT,3.5
772,INVENT,3.5
786,Late Delivery,3.5
794,Wrong Item,4.0
811,Wrong Item,4.0
812,No Applicable,3.5
819,Communication Issue,3.5
834,Communication Issues,3.5
838,Difficulty Opening Holes,3.5
850,Wrong Item,3.5
852,Late Delivery,3.5
860,Damaged Goods,4.0
863,Late Delivery,4.0
864,Produto Péssimo,4.0
867,Missing Parts,3.5
870,Missing Parts,3.5
879,Damaged Goods,3.5
886,Late Delivery,4.0
889,Late Delivery,3.5
890,Late Delivery,3.5
893,Wrong Item,4.0
916,Late Delivery,3.5
925,Late Delivery,3.5
930,Wrong Item,4.0
935,Missing Parts,4.0
946,Late Delivery,3.5
953,INVENT,1.0
970,INVENT,1.0
981,Missing Parts,3.5
993,Wrong Item,4.0
998,Late Delivery,3.5
1003,Late Delivery,3.5
1004,No Positioning,3.5
1005,Missing Parts,4.0
1011,Poor Quality,3.5
1018,Late Delivery,4.0
1022,Sem Preço,4.0
1030,Missing Parts,4.0
1038,Wrong Item,4.0
1044,Late Delivery,4.0
1045,Poor Quality,4.0
1056,Late Delivery,3.5
1062,Late Delivery,3.5
1067,Late Delivery,3.5
1078,Missing Parts,4.0
1083,Missing Parts,3.5
1084,Late Delivery,4.0
1092,Poor Quality,4.0
1095,Late Delivery,3.5
1097,Missing Parts,3.5
1099,Poor Quality,4.0
1100,Misalignment,3.5
1114,Missing Parts,2.0
1116,Poor Quality,3.0
1131,Misdescription,4.0
1142,Late Delivery,3.5
1162,Wrong Item,4.0
1165,INVENT,1.0
1168,Poor Quality,3.0
1170,Wrong Item,4.0
1174,Late Delivery,3.5
1181,Wrong Item,4.0
1183,Poor Quality,3.0
1196,Late Delivery,3.5
1198,Wrong Item,4.0
1204,Late Delivery,3.5
1209,Wrong Item,4.0
1211,Late Delivery,3.5
1213,Avaria,4.0
1225,Fraud,5.0
1228,Pedido Cancelado,3.5
1229,Wrong Item,4.0
1232,Poor Quality,3.5
1238,INVENT,3.5
1244,Late Delivery,3.5
1249,Not Received,5.0
1255,Late Delivery,3.5
1263,Wrong Item,4.0
1271,Late Delivery,3.5
1279,Late Delivery,4.0
1286,Wrong Item,4.0
1290,Wrong Item,3.5
1292,Late Delivery,3.5
1299,Late Delivery,4.0
1315,Wrong Item,4.0
1317,Item Never Arrived,5.0
1321,Wrong Item,4.0
1327,Poor Quality,3.5
1338,Wrong Item,4.0
1340,Poor Quality,3.5
1377,Missing Parts,3.5
1380,Missing Parts,3.5
1394,Missing Parts,4.0
1395,Late Delivery,3.5
1398,Late Delivery,3.5
1402,Missing Parts,4.0
1406,Late Delivery,3.5
1412,Late Delivery,3.5
1418,Duplicates,4.0
1425,Rapida Entrega,1.0
1429,Late Delivery,3.5
1435,Late Delivery,3.5
1443,Missing Parts,3.5
1452,Wrong Item,4.0
1454,Late Delivery,3.5
1455,Defective Packaging,3.5
1459,INVENT,1.0
1466,INVENT,3.5
1476,Late Delivery,4.0
1479,Late Delivery,4.0
1480,Missing Parts,3.5
1485,Wrong Item,3.5
1492,Late Delivery,3.5
1495,No Fit,1.0
1504,No Delivery,3.5
1518,Wrong Item,4.0
1524,Late Delivery,3.5
1538,Late Delivery,3.5
1542,No Issue,1.0
1551,Late Delivery,4.0
1560,Wrong Item,4.0
1568,INVENT,1.0
1582,Damaged Goods,4.0
1583,No Delivery,5.0
1592,Poor Quality,4.0
1604,Poor Quality,3.5
1614,Late Delivery,3.5
1615,Wrong Item,4.0
1619,Wrong Item,4.0
1623,Defective Product,3.5
1624,Missing Parts,3.5
